a1,a2,a3,a4=u,a4=y,a4=l,a5=g,a5=p,a5=gg,a6=w,a6=q,a6=m,a6=r,a6=cc,a6=k,a6=c,a6=d,a6=x,a6=i,a6=e,a6=aa,a6=ff,a6=j,a7=v,a7=h,a7=bb,a7=ff,a7=j,a7=z,a7=o,a7=dd,a7=n,a8,a9,a10,a11,a12,a13=g,a13=s,a13=p,a14,a15,result
0,30.83,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.25,0,0,1,0,1,0,0,202,0,approved
1,58.67,4.46,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.04,0,0,6,0,1,0,0,43,560,approved
1,24.5,0.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,0,1,0,0,1,0,0,280,824,approved
0,27.83,1.54,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.75,0,0,5,1,1,0,0,100,3,approved
0,20.17,5.625,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.71,0,1,0,0,0,1,0,120,0,approved
0,32.08,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.5,0,1,0,1,1,0,0,360,0,approved
0,33.17,1.04,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.5,0,1,0,1,1,0,0,164,31285,approved
1,22.92,11.585,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.04,0,1,0,0,1,0,0,80,1349,approved
0,54.42,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.96,0,1,0,0,1,0,0,180,314,approved
0,42.5,4.915,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.165,0,1,0,1,1,0,0,52,1442,approved
0,22.08,0.83,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.165,1,1,0,1,1,0,0,128,0,approved
0,29.92,1.835,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.335,0,1,0,0,1,0,0,260,200,approved
1,38.25,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,approved
0,48.08,6.04,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.04,1,1,0,0,1,0,0,0,2690,approved
1,45.83,10.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,7,1,1,0,0,0,0,approved
0,36.67,4.415,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,10,1,1,0,0,320,0,approved
0,28.25,0.875,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.96,0,0,3,1,1,0,0,396,0,approved
1,23.25,5.875,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.17,0,0,10,0,1,0,0,120,245,approved
0,21.83,0.25,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.665,0,1,0,1,1,0,0,0,0,approved
1,19.17,8.585,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.75,0,0,7,0,1,0,0,96,0,approved
0,25,11.25,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.5,0,0,17,0,1,0,0,200,1208,approved
0,23.25,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.835,0,1,0,0,0,1,0,300,0,approved
1,47.75,8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.875,0,0,6,1,1,0,0,0,1260,approved
1,27.42,14.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.085,0,0,1,0,1,0,0,120,11,approved
1,41.17,6.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,3,1,1,0,0,145,0,approved
1,15.83,0.585,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,0,0,2,0,1,0,0,100,0,approved
1,47,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.165,0,0,9,1,1,0,0,0,0,approved
0,56.58,18.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,17,1,1,0,0,0,0,approved
0,57.42,8.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,3,0,1,0,0,0,0,approved
0,42.08,1.04,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,6,1,1,0,0,500,10000,approved
0,29.25,14.79,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5.04,0,0,5,1,1,0,0,168,0,approved
0,42,9.79,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.96,0,0,8,0,1,0,0,0,0,approved
0,49.5,7.585,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7.585,0,0,15,1,1,0,0,0,5000,approved
1,36.75,5.125,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,1,1,0,0,0,4000,approved
1,22.58,10.75,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.415,0,0,5,1,1,0,0,0,560,approved
0,27.83,1.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,11,1,1,0,0,434,35,approved
0,27.25,1.585,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.835,0,0,12,1,1,0,0,583,713,approved
1,23,11.75,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,2,1,1,0,0,300,551,approved
0,27.75,0.585,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,2,0,1,0,0,260,500,approved
0,54.58,9.415,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,14.415,0,0,11,1,1,0,0,30,300,approved
0,34.17,9.17,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.5,0,0,12,1,1,0,0,0,221,approved
0,28.92,15,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.335,0,0,11,0,1,0,0,0,2283,approved
0,29.67,1.415,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.75,0,0,1,0,1,0,0,240,100,approved
0,39.58,13.915,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.625,0,0,6,1,1,0,0,70,0,approved
0,56.42,28,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28.5,0,0,40,0,1,0,0,0,15,approved
0,54.33,6.75,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.625,0,0,11,1,1,0,0,0,284,approved
1,41,2.04,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.125,0,0,23,1,1,0,0,455,1236,approved
0,31.92,4.46,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.04,0,0,3,0,1,0,0,311,300,approved
0,41.5,1.54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.5,1,1,0,0,1,0,0,216,0,approved
0,23.92,0.665,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.165,1,1,0,0,1,0,0,100,0,approved
1,25.75,0.5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.875,0,1,0,1,1,0,0,491,0,approved
0,26,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.75,0,1,0,1,1,0,0,280,0,approved
0,37.42,2.04,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.04,0,1,0,1,1,0,0,400,5800,approved
0,34.92,2.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,239,200,approved
0,34.25,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.415,0,1,0,1,1,0,0,0,0,approved
0,23.33,11.625,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.835,0,1,0,1,1,0,0,160,300,approved
0,23.17,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.085,0,1,0,0,1,0,0,0,0,approved
0,44.33,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,1,1,0,0,320,0,approved
0,35.17,4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.75,1,1,0,1,0,1,0,711,0,approved
0,43.25,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,11,0,1,0,0,80,0,approved
0,56.75,12.25,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.25,0,0,4,1,1,0,0,200,0,approved
0,31.67,16.165,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,9,0,1,0,0,250,730,approved
1,23.42,0.79,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.5,0,0,2,1,1,0,0,80,400,approved
1,20.42,0.835,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.585,0,0,1,0,1,0,0,0,0,approved
0,26.67,4.25,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.29,0,0,1,1,1,0,0,120,0,approved
0,34.17,1.54,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.54,0,0,1,1,1,0,0,520,50000,approved
1,36,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,11,0,1,0,0,0,456,approved
0,25.5,0.375,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,3,0,1,0,0,260,15108,approved
0,19.42,6.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.46,0,0,7,0,1,0,0,80,2954,approved
0,35.17,25.125,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.625,0,0,1,1,1,0,0,515,500,approved
0,32.33,7.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.585,0,1,0,1,0,1,0,420,0,rejected
0,34.83,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.5,0,1,0,1,1,0,0,184.014771,0,rejected
1,38.58,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.5,0,1,0,1,1,0,0,980,0,rejected
0,44.25,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.75,0,1,0,0,0,1,0,400,0,rejected
0,44.83,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.625,1,1,0,0,1,0,0,160,2,rejected
0,20.67,5.29,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.375,0,0,1,0,1,0,0,160,0,rejected
0,34.08,6.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.125,0,1,0,1,1,0,0,443,0,rejected
1,19.17,0.585,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.585,0,1,0,1,1,0,0,160,0,rejected
0,21.67,1.165,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.5,0,0,1,0,1,0,0,180,20,rejected
0,21.5,9.75,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,1,0,0,1,0,0,140,0,rejected
0,49.58,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,94,0,rejected
1,27.67,1.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,368,0,rejected
0,39.83,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,1,0,0,0,1,0,288,0,rejected
1,31.568171,3.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,300,0,rejected
0,27.25,0.625,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.455,0,1,0,1,1,0,0,200,0,rejected
0,37.17,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,1,0,1,0,280,0,rejected
0,31.568171,0.375,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.875,0,1,0,1,0,1,0,928,0,rejected
0,25.67,2.21,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,188,0,rejected
0,34,4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,240,0,rejected
1,49,1.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,100,27,rejected
0,62.5,12.75,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,112,0,rejected
0,31.42,15.5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,1,0,0,1,0,0,120,0,rejected
0,31.568171,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8.5,0,1,0,0,1,0,0,0,0,rejected
0,52.33,1.375,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.46,0,1,0,1,1,0,0,200,100,rejected
0,28.75,1.5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.5,0,1,0,1,1,0,0,0,225,rejected
1,28.58,3.54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,1,0,1,1,0,0,171,0,rejected
0,23,0.625,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.125,0,1,0,0,1,0,0,180,1,rejected
0,31.568171,0.5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.835,0,1,0,1,0,1,0,320,0,rejected
1,22.5,11,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,268,0,rejected
1,28.5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,167,500,rejected
0,37.5,1.75,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,1,0,1,1,0,0,164,400,rejected
0,35.25,16.5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,80,0,rejected
0,18.67,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.375,0,0,2,0,1,0,0,0,38,rejected
0,25,12,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.25,0,0,2,1,1,0,0,120,5,rejected
0,27.83,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.75,0,0,2,1,1,0,0,75,0,rejected
0,54.83,15.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,1,0,0,152,130,rejected
0,28.75,1.165,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,1,0,280,0,rejected
1,25,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.5,0,1,0,0,1,0,0,120,0,rejected
0,40.92,2.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,0,1,1,0,0,176,0,rejected
1,19.75,0.75,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.795,0,0,5,1,1,0,0,140,5,rejected
0,29.17,3.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.5,0,0,3,1,1,0,0,329,0,rejected
1,24.5,1.04,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5,0,0,3,0,1,0,0,180,147,rejected
0,24.58,12.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.875,0,1,0,1,1,0,0,260,0,rejected
1,33.75,0.75,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,1,0,0,212,0,rejected
0,20.67,1.25,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.375,0,0,3,1,1,0,0,140,210,rejected
1,25.42,1.125,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.29,0,0,2,0,1,0,0,200,0,rejected
0,37.75,7,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.5,0,0,7,1,1,0,0,300,5,rejected
0,52.5,6.5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.29,0,0,15,0,1,0,0,0,11202,approved
0,57.83,7.04,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,6,1,1,0,0,360,1332,approved
1,20.75,10.335,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.335,0,0,1,1,1,0,0,80,50,approved
0,39.92,6.21,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.04,0,0,1,0,1,0,0,200,300,approved
0,25.67,12.5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.21,0,0,67,1,1,0,0,140,258,approved
1,24.75,12.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.5,0,0,12,1,1,0,0,120,567,approved
1,44.17,6.665,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.375,0,0,3,1,1,0,0,0,0,approved
1,23.5,9,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.5,0,0,5,1,1,0,0,120,0,approved
0,34.92,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.5,0,0,6,1,1,0,0,0,1000,approved
0,47.67,2.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.5,0,0,12,1,1,0,0,410,2510,approved
0,22.75,11,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.5,0,0,7,1,1,0,0,100,809,approved
0,34.42,4.25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.25,0,0,2,0,1,0,0,274,610,approved
1,28.42,3.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.835,0,1,0,0,0,1,0,280,0,approved
0,67.75,5.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,1,1,1,0,0,0,0,approved
0,20.42,1.835,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.25,0,0,1,0,1,0,0,100,150,approved
1,47.42,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6.5,0,0,6,0,1,0,0,375,51100,approved
0,36.25,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.5,0,0,6,0,1,0,0,0,367,approved
0,32.67,5.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.5,0,0,12,1,1,0,0,408,1000,approved
0,48.58,6.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,1,1,0,0,350,0,approved
